16,1635.534,1
6,0,2,6,7,46,4,1,0,0.000,50.000,95.000,108.000,123.831,141.000,158.071,206.150,140
3,0,41,37,35,0,0.000,92.000,124.000,139.000,193.204,50
3,0,10,13,17,0,0.000,119.000,142.000,163.180,213.491,60
5,0,12,11,9,24,25,0,0.000,64.000,79.000,94.385,148.000,168.440,223.717,110
3,0,42,44,43,0,0.000,33.541,64.000,128.000,176.079,40
3,0,22,20,48,0,0.000,92.000,122.000,151.000,206.044,60
3,0,50,34,32,0,0.000,116.000,139.000,154.385,215.463,70
5,0,14,47,15,16,3,0,0.000,35.355,48.355,63.355,75.355,135.445,184.802,70
3,0,39,38,40,0,0.000,37.000,75.000,90.385,140.696,70
3,0,45,5,8,0,0.000,37.736,50.736,91.000,140.051,40
1,0,49,0,0.000,104.000,152.053,10
2,0,19,18,0,0.000,72.000,87.385,142.562,60
2,0,36,26,0,0.000,43.012,115.662,184.185,70
2,0,21,23,0,0.000,67.000,79.000,134.044,40
3,0,31,29,27,0,0.000,61.000,73.000,88.000,155.009,50
3,0,33,30,28,0,0.000,51.478,74.000,88.000,153.714,30
