10,991.085,153
5,0,12,11,9,13,17,0,0.000,64.000,79.000,94.385,142.000,163.180,213.491,110
6,0,2,7,6,8,46,4,0,0.000,50.000,79.000,95.000,110.831,123.831,141.000,187.056,130
5,0,42,44,43,37,35,0,0.000,33.541,64.000,128.000,148.440,162.046,216.250,70
5,0,14,47,15,16,10,0,0.000,35.355,48.355,63.355,75.355,119.000,160.623,90
5,0,39,36,40,38,41,0,0.000,37.000,54.071,85.000,100.385,116.788,157.594,130
4,0,45,5,3,1,0,0.000,37.736,50.736,109.000,145.000,193.079,60
4,0,19,18,25,48,0,0.000,72.000,87.385,154.000,171.000,226.044,90
6,0,21,23,49,22,20,24,0,0.000,67.000,79.000,104.000,117.606,129.606,148.000,193.057,110
5,0,31,29,27,26,32,0,0.000,61.000,73.000,88.000,115.000,133.000,194.078,90
5,0,33,30,28,34,50,0,0.000,51.478,74.000,88.000,111.000,134.000,179.341,90
